code,n_late,base,A_auc,A_p10,B_auc,B_p10,C_auc,C_p10
C2012-13,38,0.18421052631578946,0.847926267281106,0.6,0.7880184331797234,0.5,0.8940092165898618,0.5
C2013-01,23,0.13043478260869565,0.5166666666666666,0.1,1.0,0.3,0.4666666666666666,0.1
C2013-02,111,0.16216216216216217,0.7267025089605734,0.2,0.7031063321385902,0.4,0.7505973715651135,0.3
C2013-03,32,0.46875,0.707843137254902,0.6,0.7470588235294118,0.7,0.7980392156862746,0.8
C2013-04,136,0.04411764705882353,0.9833333333333333,0.6,0.985897435897436,0.6,0.9846153846153846,0.6
C2013-06,150,0.2733333333333333,0.4010964421570821,0.1,0.3905795479973148,0.1,0.579659879167599,0.1
C2013-07,32,0.34375,0.9134199134199135,0.8,0.9913419913419913,1.0,0.948051948051948,1.0
C2013-08,26,0.3076923076923077,0.6805555555555556,0.4,0.6875,0.4,0.6944444444444445,0.4
C2013-10,131,0.22900763358778625,0.6551155115511551,0.2,0.6584158415841583,0.2,0.63993399339934,0.2
C2013-11,101,0.27722772277227725,0.49779843444227,0.3,0.4821428571428572,0.2,0.46135029354207435,0.2
C2014-01,27,0.18518518518518517,0.7363636363636363,0.2,0.5727272727272728,0.2,0.44545454545454544,0.1
C2014-08,22,0.4090909090909091,0.47863247863247865,0.4,0.6709401709401709,0.5,0.17948717948717946,0.1
C2015-02,114,0.34210526315789475,0.7545299145299146,1.0,0.8396581196581197,1.0,0.7374358974358974,1.0
C2015-04,29,0.3103448275862069,0.6944444444444444,0.5,,,,
C2015-05,33,0.30303030303030304,0.6695652173913044,0.4,,,,
C2015-06,93,0.08602150537634409,0.6147058823529412,0.4,0.8544117647058823,0.3,0.7911764705882354,0.5
C2015-09,186,0.2903225806451613,0.6239478114478114,0.5,0.45496632996632996,0.4,0.5975729517396184,0.5
C2015-29,103,0.27184466019417475,0.5738095238095238,0.3,0.38571428571428573,0.2,0.49238095238095236,0.1
C2015-30,21,0.23809523809523808,0.525,0.2,0.65,0.4,0.65,0.4
C2015-32,27,0.07407407407407407,0.6,0.1,,,,
C2016-11,32,0.375,0.6333333333333333,0.5,0.5833333333333334,0.4,0.6041666666666667,0.5
C2016-12,35,0.2571428571428571,0.6923076923076923,0.4,0.4487179487179487,0.3,0.7649572649572649,0.4
C2016-13,31,0.2903225806451613,0.494949494949495,0.3,0.5631313131313131,0.3,0.4696969696969697,0.3
C2016-14,29,0.1724137931034483,0.33333333333333337,0.0,0.625,0.2,0.3666666666666667,0.1
C2019-01,44,0.9545454545454546,0.35714285714285715,0.9,,,,
C2023-11,143,0.993006993006993,0.1619718309859155,1.0,,,,
C2024-01,34,0.058823529411764705,0.03125,0.0,,,,
C2025-01,23,0.043478260869565216,0.7272727272727273,0.1,0.5681818181818181,0.1,0.5909090909090908,0.1
C2025-03,74,0.13513513513513514,0.33671875000000007,0.0,0.5226562499999999,0.1,0.5625,0.1
C2025-04,75,0.28,0.5070546737213404,0.2,0.5568783068783069,0.1,0.6194885361552027,0.6
C2025-06,26,0.11538461538461539,0.5942028985507246,0.1,0.37681159420289856,0.0,0.42028985507246375,0.1
C2025-08,38,0.07894736842105263,0.5238095238095237,0.0,0.3904761904761905,0.0,0.47619047619047616,0.1
C2025-09,54,0.05555555555555555,0.3137254901960784,0.0,0.630718954248366,0.1,0.3986928104575163,0.0
C2025-10,57,0.12280701754385964,0.5228571428571429,0.2,0.3371428571428572,0.0,0.5028571428571428,0.1
C2025-12,62,0.08064516129032258,0.512280701754386,0.0,0.48771929824561405,0.0,0.7350877192982457,0.2
C2025-13,76,0.10526315789473684,0.6314338235294118,0.2,0.34650735294117646,0.0,0.5854779411764706,0.2
C2025-14,41,0.2682926829268293,0.5545454545454546,0.3,0.5378787878787878,0.2,0.503030303030303,0.3
C2025-15,25,0.56,0.5649350649350648,0.5,0.48701298701298706,0.5,0.551948051948052,0.5
C2025-16,25,0.56,0.6103896103896104,0.7,,,,
C2025-17,85,0.1411764705882353,0.4189497716894977,0.3,0.4994292237442922,0.1,0.4246575342465754,0.2
C2025-18,133,0.03007518796992481,0.2868217054263566,0.0,0.5823643410852714,0.1,0.36240310077519383,0.0
C2025-21,70,0.2571428571428571,0.5053418803418803,0.5,0.5229700854700855,0.2,0.5715811965811965,0.5
C2025-22,23,0.2608695652173913,0.5392156862745099,0.2,0.5980392156862745,0.3,0.5490196078431373,0.2
C2025-23,28,0.5,0.3239795918367347,0.3,0.22193877551020408,0.3,0.288265306122449,0.4
C2025-24,39,0.41025641025641024,0.563858695652174,0.5,0.5937500000000001,0.5,0.4741847826086956,0.4
C2025-25,37,0.1891891891891892,0.3142857142857143,0.0,0.4857142857142857,0.2,0.2619047619047619,0.0
C2025-26,43,0.18604651162790697,0.32142857142857145,0.0,0.5892857142857144,0.2,0.475,0.3
C2025-27,64,0.25,0.57421875,0.3,0.4674479166666667,0.2,0.55859375,0.3
C2025-28,29,0.20689655172413793,0.6014492753623188,0.2,,,,
