feature,mean_abs_shap,spearman_corr_shap_conditional,p_value,spearman_corr_raw_marginal,raw_p_value
f_proj_span,0.0423460425756942,0.6978626863333104,2.188396397963511e-219,0.2689282873838185,5.159936880685043e-106
f_n_siblings,0.0378416986141977,0.03192293465283194,0.21658714505228532,0.22568263729908758,2.112296487487783e-74
f_concurrent,0.0302658182595248,0.17590667072993316,6.851449604850456e-12,0.20560406681327817,8.525991980307655e-62
f_n_upstream,0.026377209073504,-0.7666851066287487,1.3816496188936857e-290,-0.20106836101242095,4.001859245631528e-59
f_float_ratio,0.0190569391792429,-0.13727124910208158,9.431750287373786e-08,0.08813350953373561,1.81337769631383e-12
f_wbs_depth,0.0190097774940705,-0.4322352384745074,2.5354173942061875e-69,-0.25219021632780014,4.870113965556949e-93
f_float,0.0172385021805268,-0.16497626154223463,1.290633586995342e-10,0.13978688626919475,3.551036286007961e-29
f_proj_n_tasks,0.0163718449296348,-0.09055238011484248,0.00044580229877795894,0.1268573008327206,2.804638651010314e-24
f_rel_pos,0.0132565417676012,0.23684108966472608,1.434320254657988e-20,-0.1443638855453559,5.014705784848268e-31
f_proj_med_dur,0.0116411067864764,0.20088445305195884,4.0320373087226745e-15,0.15562655781221096,7.692720042472835e-36
f_cost_share,0.0107240194560381,-0.04440048843133838,0.08560750432627279,-0.026373795300966847,0.035256369974308914
f_n_pred,0.0106317565679455,-0.3782090198739935,3.321482151856188e-52,-0.16511165237841077,3.473179491954952e-40
f_early_spi,0.0105242042114375,0.42651881554651966,2.3312711457945492e-67,,
f_cost,0.009385942409691,-0.15325206547437853,2.4350980424257737e-09,-0.03560764525043623,0.004469943234876381
f_log_cost,0.0089281264886338,-0.14177997043375468,3.499422956465407e-08,-0.03560764525043623,0.004469943234876381
f_proj_n_tp,0.0088428406290364,-0.8391753375937582,0.0,,
f_dur_vs_median,0.0079607014380756,-0.06209357748725179,0.016164050695231802,-0.015487969056346834,0.21636461832897927
f_log_dur,0.0076464111904239,0.008523197717750019,0.7415262807984505,0.06189120075524253,7.629560096437823e-07
f_betweenness,0.007105746468609,-0.10743765728600582,3.0507106130899836e-05,-0.0949887108508173,2.990064708285146e-14
f_dur,0.0067247292845546,0.06839589647183071,0.008052589799058596,0.06189120075524253,7.629560096437823e-07
f_proj_log_cost,0.0066865883420825,-0.504731824589608,9.173920628395123e-98,-0.03470541531883037,0.005590817016885709
f_early_spit,0.0066012245546464,0.46727814044568905,3.237552897875073e-82,,
f_start_month,0.0063955165839309,-0.10549702223665422,4.241688363716804e-05,0.014776358198629385,0.23822082420613816
f_cost_per_day,0.0063224079970724,-0.2077974730652455,4.287472750436075e-16,-0.05444908394290265,1.3669590152544636e-05
f_n_SS,0.0061750114277268,-0.5827036377048086,4.0870309893854785e-137,-0.1344890101803155,4.127314499509322e-27
f_n_downstream,0.0059118256924525,0.08671101629264351,0.0007742579330173196,-0.046766203343295586,0.00018793374684041147
f_fixed_ratio,0.0053214871407904,-0.7782623817286469,5.050994414973569e-305,-0.12203465804943213,1.4160809984567649e-22
f_has_resource,0.0050570442926878,-0.7336194850556854,1.3369396444887183e-253,-0.1825439766113043,7.101459273317926e-49
f_n_resources,0.0043883368081559,-0.7893532743599585,0.0,-0.1825439766113043,7.101459273317926e-49
f_n_FS,0.0036786719647813,0.6621183016545236,6.506229871296122e-190,-0.06904338591324352,3.4422636089198194e-08
f_var_ratio,0.0034203732699717,-0.13693296379654582,1.0147285039637744e-07,0.057799667184437985,3.890192090564608e-06
f_n_succ,0.0032617697839767,0.48014456345131584,2.4301619931695314e-87,-0.05752868889758016,4.317500923647553e-06
f_early_cpi,0.0031038896444374,0.040450561598598306,0.11735367376345121,,
f_is_critical,0.0016073256748803,0.44587462912420084,3.664420196249916e-74,-0.028974135367272842,0.020718893210119584
f_max_lag,0.0010934572736149,-0.047104466041783935,0.0681763158670543,-0.01390766270032704,0.26695614657156674
f_sum_lag,0.0009677913537044,-0.07401371984021989,0.004129662408541435,-0.014593749005532028,0.24407238002010656
f_has_lag,0.0007093558197736,-0.19632013698033707,1.6949090807057367e-14,-0.0706551859993802,1.6381368929775253e-08
f_res_ratio,0.0004162702567823,-0.15184071021331644,3.417707338640334e-09,-0.032591760489665896,0.009267752827853068
f_n_FF,0.0002821267991062,0.21634411168041603,2.4014286018083032e-17,0.026813401213998715,0.03231377620756853
